id;ano;mes;dia;dia_semana;hora;aisp;municipio;bairro;latitude;longitude;natureza;idade;f_etaria;sexo;raca_cor;orientacao_sexual;id_vitima;populacao
20251424;2025;1;1;3;1;08 AISP - Laranjeiras do Sul;RIO BONITO DO IGUACU;ZONA RURAL;-25,48690881;-52,52688978;Crimes Violentos Letais Intencionais (CVLI);28 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Heterossexual;34249;13929
20251424;2025;1;1;3;1;08 AISP - Laranjeiras do Sul;RIO BONITO DO IGUACU;ZONA RURAL;-25,48690881;-52,52688978;Feminicidio;28 anos;25 ~ 59 anos (Adulto);Feminino;Parda;Heterossexual;12022;13929
2025597;2025;1;1;3;1;16 AISP - Paranavai;SAO CARLOS DO IVAI;CENTRO;-23,30884745;-52,47711459;Crimes Violentos Letais Intencionais (CVLI);33 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Heterossexual;34478;6587
2025597;2025;1;1;3;1;16 AISP - Paranavai;SAO CARLOS DO IVAI;CENTRO;-23,30884745;-52,47711459;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);33 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Heterossexual;11371;6587
20251039;2025;1;1;3;4;17 AISP - Maringa;SAO JORGE DO IVAI;CENTRO;-23,43545786;-52,29434196;Morte por Intervencao Legal de Agente do Estado - MILAE;35 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;21528;5168
20251999;2025;1;1;3;11;02 AISP - Sao Jose dos Pinhais;FAZENDA RIO GRANDE;IGUACU;-25,64140022;-49,32329319;Crimes Violentos Letais Intencionais (CVLI);50 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;34599;148873
20251999;2025;1;1;3;11;02 AISP - Sao Jose dos Pinhais;FAZENDA RIO GRANDE;IGUACU;-25,64140022;-49,32329319;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);50 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;11474;148873
20253375;2025;1;1;3;18;01 AISP - Curitiba;CURITIBA;NOVO MUNDO;-25,432956;-49,27184789;Praticar Homicidio Culposo na Direcao de Veiculo;82 anos;60+ (Idoso);Masculino;Branca;Nao Informado;18874;1773733
202529251;2025;1;1;3;19;17 AISP - Maringa;MARINGA;ZONA RURAL;-23,42228;-51,93988187;Praticar Homicidio Culposo na Direcao de Veiculo;57 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;19082;409657
20256093;2025;1;1;3;20;02 AISP - Sao Jose dos Pinhais;SAO JOSE DOS PINHAIS;CACHOEIRA;-25,537702;-49,20008247;Praticar Homicidio Culposo na Direcao de Veiculo;20 anos;15 ~ 24 anos (Jovem);Masculino;Nao Informado;Nao Informado;19060;329222
20253872;2025;1;1;3;22;04 AISP - Ponta Grossa;PONTA GROSSA;CONTORNO;-25,092547;-50,16144206;Crimes Violentos Letais Intencionais (CVLI);50 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;34330;358367
20253872;2025;1;1;3;22;04 AISP - Ponta Grossa;PONTA GROSSA;CONTORNO;-25,092547;-50,16144206;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);50 anos;25 ~ 59 anos (Adulto);Masculino;Parda;Nao Informado;11247;358367
20253895;2025;1;2;4;0;05 AISP - Sao Mateus do Sul;RIO NEGRO;BOM JESUS;-26,10040797;-49,79768538;Crimes Violentos Letais Intencionais (CVLI);57 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;34585;31324
20253895;2025;1;2;4;0;05 AISP - Sao Mateus do Sul;RIO NEGRO;BOM JESUS;-26,10040797;-49,79768538;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);57 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;11460;31324
202519275;2025;1;2;4;7;02 AISP - Sao Jose dos Pinhais;COLOMBO;MAUA;-25,29434029;-49,22743798;Crimes Violentos Letais Intencionais (CVLI);37 anos;25 ~ 59 anos (Adulto);Nao Informado;Nao Informado;Nao Informado;34345;232056
202519275;2025;1;2;4;7;02 AISP - Sao Jose dos Pinhais;COLOMBO;MAUA;-25,29434029;-49,22743798;Homicidio Doloso (homicidio simples e qualificado e homicidio doloso no transito);37 anos;25 ~ 59 anos (Adulto);Nao Informado;Nao Informado;Nao Informado;11258;232056
20254930;2025;1;2;4;13;02 AISP - Sao Jose dos Pinhais;CAMPINA GRANDE DO SUL;JD SANTA ROSA;-25,30324751;-49,05346587;Morte por Intervencao Legal de Agente do Estado - MILAE;38 anos;25 ~ 59 anos (Adulto);Masculino;Branca;Nao Informado;21529;47799
20256617;2025;1;2;4;19;03 AISP - Paranagu ;ANTONINA;CENTRO;-25,43016613;-48,71290006;Praticar Homicidio Culposo na Direcao de Veiculo;72 anos;60+ (Idoso);Masculino;Nao Informado;Nao Informado;18978;18091
